full_name,publication_year,team_id,gender,position
"Victor, Korotkikh",2009,1,male,first
"Galina, Korotkikh",2009,1,male,last
"Jiri, Kroc",2007,2,unknown,first
"Yurij, Holovatch",2017,3,female,first
"Ralph, Kenna",2017,3,unknown,other
"Stefan, Thurner",2017,3,male,last
"Amandine, Orsini",2020,4,male,first
"Philippe, Le Prestre",2020,4,male,other
"Jean Frederic, Morin",2020,4,male,other
"Peter M, Haas",2020,4,unknown,other
"Malte, Brosig",2020,4,unknown,other
"Philipp, Pattberg",2020,4,unknown,other
"Oscar, Widerberg",2020,4,female,other
"Laura, Gomez Mera",2020,4,male,other
"Neil E, Harrison",2020,4,male,other
"Robert, Geyer",2020,4,female,other
"David, Chandler",2020,4,male,last
"LH, Chai",2004,5,female,first
"DS, Wen",2004,5,unknown,last
"DJ, Svyantek",2000,6,male,first
"LL, Brown",2000,6,male,last
"A, Chamseddine",2012,7,female,first
"H, Noura",2012,7,female,last
"Ni, Li",2018,8,male,first
"Yuhong, Li",2018,8,female,other
"Guanghong, Gong",2018,8,female,last
"Erik, Van der Straeten",2011,9,female,first
"Christian, Beck",2011,9,male,last
"Vernon, Ireland",2016,10,unknown,first
"Alex, Gorod",2016,10,unknown,last
"Stavros K, Stavroglou",2020,11,male,first
"Athanasios A, Pantelous",2020,11,male,other
"H Eugene, Stanley",2020,11,female,other
"Konstantin M, Zuev",2020,11,male,last
"Isaias, Badillo Pina",2010,12,male,first
"J, Swiatek",2004,13,male,first
"Elise, Filotas",2014,14,unknown,first
"Christian, Messier",2014,14,male,other
"Lael, Parrott",2014,14,unknown,other
"Philip J, Burton",2014,14,male,other
"Robin L, Chazdon",2014,14,male,other
"K David, Coates",2014,14,unknown,other
"Lluis, Coll",2014,14,male,other
"Sybille, Haeussler",2014,14,male,other
"Kathy, Martin",2014,14,male,other
"Suzanne W, Simard",2014,14,unknown,other
"Susanna, Nocentini",2014,14,male,other
"Klaus J, Puettmann",2014,14,unknown,other
"Francis E, Putz",2014,14,unknown,last
"Sarah A, Sheard",2009,15,unknown,first
"Ali, Mostashari",2009,15,male,last
"Melissa, Gardenghi",2011,16,male,first
"Margaret M, Wiecek",2011,16,male,other
"Trinidad, Gomez",2011,16,male,other
"Francisca, Miguel",2011,16,male,last
"Susan A, Yoon",2017,17,male,first
"Emma, Anderson",2017,17,male,other
"Jessica, Koehler Yom",2017,17,male,other
"Chad, Evans",2017,17,male,other
"Miyoung, Park",2017,17,unknown,other
"Josh, Sheldon",2017,17,male,other
"Ilana, Schoenfeld",2017,17,unknown,other
"Daniel, Wendel",2017,17,male,other
"Hal, Scheintaub",2017,17,male,other
"Eric, Klopfer",2017,17,unknown,last
"SK, Ethiraj",2004,18,male,first
"D, Levinthal",2004,18,male,last
"Tarcisio Abreu, Saurin",2013,19,male,first
"John, Rooke",2013,19,male,other
"Lauri, Koskela",2013,19,male,last
"Yan Zexian, Yan Zexian",2007,20,male,first
"M, Jamshidi",2001,21,unknown,first
"CD, Stylios",2004,22,male,first
"PP, Groumpos",2004,22,female,last
"Anna, Carbone",2016,23,male,first
"Meiko, Jensen",2016,23,unknown,other
"Aki Hiro, Sato",2016,23,male,last
"Axel, Duerrbaum",2012,24,female,first
"Andreas, Kroll",2012,24,male,other
"Hanns Jakob, Sommer",2012,24,unknown,last
"Tobias, Dietz",2020,25,male,first
"Stefan, Ruzika",2020,25,unknown,other
"Luca E, Schaefer",2020,25,male,other
"Kathrin, Klamroth",2020,25,male,other
"Konstantin, Kraus",2020,25,unknown,other
"Britta, Schulze",2020,25,male,other
"Michael, Stiglmayr",2020,25,unknown,other
"Margaret M, Wiecek",2020,25,male,last
"Carlos, Cotta",2017,26,male,first
"Robert, Schaefer",2017,26,male,last
"Lori Baugh, Littlejohns",2019,27,unknown,first
"Andrew, Wilson",2019,27,male,last
"TG, Buchman",2001,28,unknown,first
"JP, Cobb",2001,28,male,other
"AS, Lapedes",2001,28,male,other
"TB, Kepler",2001,28,unknown,last
"Rika, Preiser",0,29,male,first
