full_name,publication_year,team_id,gender
"Victor, Korotkikh",2009,1,male
"Galina, Korotkikh",2009,1,male
"Jiri, Kroc",2007,2,unknown
"Yurij, Holovatch",2017,3,female
"Ralph, Kenna",2017,3,unknown
"Stefan, Thurner",2017,3,male
"Amandine, Orsini",2020,4,male
"Philippe, Le Prestre",2020,4,male
"Jean Frederic, Morin",2020,4,male
"Peter M, Haas",2020,4,unknown
"Malte, Brosig",2020,4,unknown
"Philipp, Pattberg",2020,4,unknown
"Oscar, Widerberg",2020,4,female
"Laura, Gomez Mera",2020,4,male
"Neil E, Harrison",2020,4,male
"Robert, Geyer",2020,4,female
"David, Chandler",2020,4,male
"LH, Chai",2004,5,female
"DS, Wen",2004,5,unknown
"DJ, Svyantek",2000,6,male
"LL, Brown",2000,6,male
"A, Chamseddine",2012,7,female
"H, Noura",2012,7,female
"Ni, Li",2018,8,male
"Yuhong, Li",2018,8,female
"Guanghong, Gong",2018,8,female
"Erik, Van der Straeten",2011,9,female
"Christian, Beck",2011,9,male
"Vernon, Ireland",2016,10,unknown
"Alex, Gorod",2016,10,unknown
"Stavros K, Stavroglou",2020,11,male
"Athanasios A, Pantelous",2020,11,male
"H Eugene, Stanley",2020,11,female
"Konstantin M, Zuev",2020,11,male
"Isaias, Badillo Pina",2010,12,male
"J, Swiatek",2004,13,male
"Elise, Filotas",2014,14,unknown
"Christian, Messier",2014,14,male
"Lael, Parrott",2014,14,unknown
"Philip J, Burton",2014,14,male
"Robin L, Chazdon",2014,14,male
"K David, Coates",2014,14,unknown
"Lluis, Coll",2014,14,male
"Sybille, Haeussler",2014,14,male
"Kathy, Martin",2014,14,male
"Suzanne W, Simard",2014,14,unknown
"Susanna, Nocentini",2014,14,male
"Klaus J, Puettmann",2014,14,unknown
"Francis E, Putz",2014,14,unknown
"Sarah A, Sheard",2009,15,unknown
"Ali, Mostashari",2009,15,male
"Melissa, Gardenghi",2011,16,male
"Margaret M, Wiecek",2011,16,male
"Trinidad, Gomez",2011,16,male
"Francisca, Miguel",2011,16,male
"Susan A, Yoon",2017,17,male
"Emma, Anderson",2017,17,male
"Jessica, Koehler Yom",2017,17,male
"Chad, Evans",2017,17,male
"Miyoung, Park",2017,17,unknown
"Josh, Sheldon",2017,17,male
"Ilana, Schoenfeld",2017,17,unknown
"Daniel, Wendel",2017,17,male
"Hal, Scheintaub",2017,17,male
"Eric, Klopfer",2017,17,unknown
"SK, Ethiraj",2004,18,male
"D, Levinthal",2004,18,male
"Tarcisio Abreu, Saurin",2013,19,male
"John, Rooke",2013,19,male
"Lauri, Koskela",2013,19,male
"Yan Zexian, Yan Zexian",2007,20,male
"M, Jamshidi",2001,21,unknown
"CD, Stylios",2004,22,male
"PP, Groumpos",2004,22,female
"Anna, Carbone",2016,23,male
"Meiko, Jensen",2016,23,unknown
"Aki Hiro, Sato",2016,23,male
"Axel, Duerrbaum",2012,24,female
"Andreas, Kroll",2012,24,male
"Hanns Jakob, Sommer",2012,24,unknown
"Tobias, Dietz",2020,25,male
"Stefan, Ruzika",2020,25,unknown
"Luca E, Schaefer",2020,25,male
"Kathrin, Klamroth",2020,25,male
"Konstantin, Kraus",2020,25,unknown
"Britta, Schulze",2020,25,male
"Michael, Stiglmayr",2020,25,unknown
"Margaret M, Wiecek",2020,25,male
"Carlos, Cotta",2017,26,male
"Robert, Schaefer",2017,26,male
"Lori Baugh, Littlejohns",2019,27,unknown
"Andrew, Wilson",2019,27,male
"TG, Buchman",2001,28,unknown
"JP, Cobb",2001,28,male
"AS, Lapedes",2001,28,male
"TB, Kepler",2001,28,unknown
"Rika, Preiser",0,29,male
"Leo, Torres",2021,30,male
"Tina, Eliassi Rad",2021,30,male
"Ann S, Blevins",2021,30,male
"Danielle, Bassett",2021,30,male
"Michael J, Jacobson",2020,31,male
"Lance W, Robinson",2009,32,male
"VVS, SARMA",1994,33,male
"Paulo V R, Carvalho",2009,34,male
"Isaac J L, dos Santos",2009,34,male
"Mario C R, Vidal",2009,34,male
"Marcello S, Santos",2009,34,male
"K, Wiesner",2019,35,unknown
"D, Garcia",2019,35,male
"A, Birdi",2019,35,male
"T, Eliassi Rad",2019,35,unknown
"H, Farrell",2019,35,male
"S, Lewandowsky",2019,35,male
"P, Palacios",2019,35,male
"D, Ross",2019,35,male
"D, Sornette",2019,35,male
"K, Thebault",2019,35,male
"RB, Norgaard",2005,36,male
"P, Baer",2005,36,unknown
"Mary J, Simpson",2010,37,unknown
"Joseph J, Simpson",2010,37,female
"Liu, Ping",2013,38,male
"J, Li",2005,39,male
"W, Ge",2005,39,male
"J, Zhang",2005,39,female
"M, Kwauk",2005,39,male
"C, Landauer",2001,40,unknown
"KL, Bellman",2001,40,unknown
"WE, Spangler",2001,41,female
"JM, Peters",2001,41,male
"Fernando, Baquero",2012,42,male
"Andres, Moya",2012,42,male
"Yoshiyasu, Tamura",2013,43,female
"Eleftheria, Vasileiadou",2012,44,female
"Thomas E, Gorochowski",2012,45,unknown
"Mario, Di Bernardo",2012,45,male
"Claire S, Grierson",2012,45,unknown
"B, Yan",2004,46,male
"QY, Xie",2004,46,male
"F Gregory, Hayden",2018,47,male
"Afshin, Jamshidi",2018,48,male
"Daoud, Ait kadi",2018,48,female
"Mohamed Larbi, Rebaiaia",2018,48,male
"Angel, Ruiz",2018,48,female
"ME, Gettings",2004,49,male
"MW, Bultman",2004,49,unknown
"FS, Fisher",2004,49,unknown
"Ping, Ao",2007,50,female
"Chulan, Kwon",2007,50,male
"Hong, Qian",2007,50,male
"Shengli, Dai",2018,51,male
"Hongyan, Xue",2018,51,male
"Wei, Zhang",2018,51,male
"Xin, Zhang",2018,51,male
"Yuan, Jiang",2018,51,male
"Martin, Sjostedt",2019,52,male
"Tim, Hoverd",2015,53,male
"Susan, Stepney",2015,53,male
"Matt, Kasman",2017,54,male
"Brynle, Owen",2017,54,unknown
"Joshua, Hayward",2017,54,unknown
"Jiming, Liu",2012,55,female
"Yu Wang, Chen",2012,55,male
"E, Klopfer",2003,56,male
"Melanie, Mitchell",2006,57,unknown
"Craig, Piers",2013,58,female
"R, FIVAZ",1994,59,male
"John, Vandermeer",2019,60,male
"Gordon, Fitch",2019,60,male
"Zachary, Hajian Forooshani",2019,60,male
"Chatura, Vaiyda",2019,60,male
"Inge, Armbrecht",2019,60,male
"Aldo, De la Mora",2019,60,female
"Katherine K, Ennis",2019,60,male
"Esteli, Jimenez Soto",2019,60,male
"Stacy M, Philpott",2019,60,unknown
"David J, Gonthier",2019,60,male
"Hsun Yi, Hsieh",2019,60,male
"Aaron, Iverson",2019,60,male
"Douglas, Jackson",2019,60,male
"Shalene, Jha",2019,60,male
"Gustavo, Lopez Bautista",2019,60,male
"Ashley, Larsen",2019,60,male
"Kevin, Li",2019,60,male
"Heidi, Liere",2019,60,unknown
"Andrew, Macdonald",2019,60,male
"Kaitlyn A, Mathis",2019,60,male
"Ivan, Monagan",2019,60,male
"Jonathan R, Morris",2019,60,unknown
"Iris Saraeny, Rivera Salinas",2019,60,male
"Kimberly, Williams Guillen",2019,60,male
"Ivette, Perfecto",2019,60,male
"Theresa, Ong",2019,60,male
"Gabriella L, Pardee",2019,60,male
"Senay, Yitbarek",2019,60,female
"Shinsuke, Uno",2019,60,female
"Ash, Zemenick",2019,60,male
"Sigal, Samon",2020,61,male
"Sharona T, Levy",2020,61,male
"Daniel, Solow",2008,62,female
"Joseph, Szmerekovsky",2008,62,unknown
"Chi Hyon, Lee",2016,63,female
"Manuela N, Hoehn Weiss",2016,63,male
"Samina, Karim",2016,63,unknown
"S, Bandini",2001,64,male
"G, Mauri",2001,64,unknown
"R, Serra",2001,64,unknown
"Yingying, Su",2012,65,unknown
"Taifu, Li",2012,65,male
"Debiao, Wang",2012,65,male
"Xinghua, Liu",2012,65,male
"P H, Mason",2015,66,female
"J F D, Dominguez",2015,66,male
"B, Winter",2015,66,female
"A, Grignolio",2015,66,male
"Serhad, Sarica",2019,67,unknown
"Jianxi, Luo",2019,67,male
"Marieke, Wichers",2019,68,male
"Marieke J, Schreuder",2019,68,male
"Robin N, Groen",2019,68,male
"Rutger, Goekoop",2019,68,male
"G, Ceschel",2005,69,male
"P, Maffei",2005,69,male
"MC, Dragani",2005,69,female
"MM, Gentile",2005,69,male
"C, Di Palma",2005,69,male
"ML, Morelli",2005,69,male
"A, Fini",2005,69,unknown
"Marilena, Nicolae",2017,70,male
"N, Elfelly",2012,71,male
"J Y, Dieulot",2012,71,male
"M, Benrejeb",2012,71,male
"P, Borne",2012,71,male
"Shamsnaz Virani, Bhada",2021,72,male
"Rahul, Krishnan",2021,72,male
"R, FIVAZ",1993,73,male
"LAN, Amaral",2004,74,male
"JM, Ottino",2004,74,male
"Bangxin, Jiang",2021,75,male
"Jianquan, Lu",2021,75,male
"Bowen, Li",2021,75,male
"Shi Chun, Shi Chun",2004,76,male
"Guo Zhong yang, Guo Zhong yang",2004,76,male
"Philip, James",2004,76,male
"M, Lachowicz",2003,77,male
"R, I, Sujith",2021,78,male
"Vishnu R, Unni",2021,78,male
"Adauto Lucas, Silva",2018,79,female
"Fabio Mueller, Guerrini",2018,79,male
"Qing, Cai",2020,80,male
"Sameer, Alam",2020,80,male
"Jiming, Liu",2020,80,male
"Rick, Quax",2011,81,male
"Peter M A, Sloot",2011,81,unknown
"David A, Bader",2011,81,male
"M, BARRERE",1995,82,unknown
"Xiaofeng, Liu",2019,83,male
"Guofu, Liao",2019,83,male
"Liyuan, Zou",2019,83,unknown
"Yan, Zheng",2019,83,male
"Xiaohai, Yang",2019,83,unknown
"Qing, Wang",2019,83,male
"Xiuhua, Geng",2019,83,unknown
"Shaoyuan, Li",2019,83,male
"Yaqin, Liu",2019,83,male
"Kemin, Wang",2019,83,male
"Erik M, Bollt",2014,84,unknown
"Jie, Sun",2014,84,unknown
"Marcos E, Gaudiano",2015,85,female
"Christopher A, Rates",2016,86,male
"Bridget K, Mulvey",2016,86,female
"David F, Feldon",2016,86,male
"R C, Martins",2008,87,male
"A A, Vicente",2008,87,unknown
"J A, Teixeira",2008,87,female
"V V, Lopes",2008,87,male
"Erna, Ruijer",0,88,unknown
"Albert, Meijer",0,88,male
"Justien, Dingelstad",0,88,unknown
"Dmitri V, Alexandrov",2021,89,male
"Andrey Yu, Zubarev",2021,89,male
"Demetris P K, Ghikas",2018,90,female
"Fotios D, Oikonomou",2018,90,female
"P S, Koutsourelakis",2008,91,male
"A, Straton",2006,92,male
"Jon, Crowcroft",2010,93,male
"Susan A, Yoon",2018,94,male
"Sao Ee, Goh",2018,94,female
"Miyoung, Park",2018,94,unknown
"Charalampos, Sergiou",2020,95,male
"Pavlos, Antoniou",2020,95,unknown
"Andreas, Pitsillides",2020,95,male
"Marios, Lestas",2020,95,unknown
"Christos, Liaskos",2020,95,unknown
"Moira, Zellner",2015,96,male
"Scott, Campbell",2015,96,male
"Oran R, Young",2017,97,male
"Eleonora, Barelli",2018,98,female
"Giulia, Tasquier",2018,98,male
"Olivia, Levrini",2018,98,unknown
"Laura, Branchetti",2018,98,male
"Luca, Albertazzi",2018,98,male
"Patrick J, Fowler",2019,99,male
"Peter S, Hovmand",2019,99,male
"Katherine E, Marcal",2019,99,female
"Sanmay, Das",2019,99,male
"AJE, Seely",2004,100,male
"PT, Macklem",2004,100,female
"Michela, Milano",2014,101,male
"Michele, Lombardi",2014,101,male
"Erwan, Le Martelot",2011,102,female
"Peter J, Bentley",2011,102,male
"Hiroki, Sayama",2013,103,male
"Irene, Pestov",2013,103,male
"Jeffrey, Schmidt",2013,103,unknown
"Benjamin James, Bush",2013,103,male
"Chun, Wong",2013,103,male
"Junichi, Yamanoi",2013,103,female
"Thilo, Gross",2013,103,male
"BT, Milne",1998,104,female
"Jiqiang, Wang",2020,105,male
"Luis H, Favela",2018,106,unknown
"Mary Jean, Amon",2018,106,unknown
"Marieke M J W, van Rooij",2018,106,female
"Kay, Junge",0,107,male
"Kirill, Postoutenko",0,107,female
"Yorghos, Apostolopoulos",2018,108,male
"Michael K, Lemke",2018,108,male
"Adam E, Barry",2018,108,male
"Kristen Hassmiller, Lich",2018,108,male
"Cameron A, MacKenzie",2020,109,unknown
"Kristy A, Bryden",2020,109,unknown
"Anna A, Prisacari",2020,109,unknown
"Adele M, Hayes",2020,110,unknown
"Leigh A, Andrews",2020,110,unknown
"Michael J, Jacobson",2011,111,unknown
"Manu, Kapur",2011,111,male
"Hyo Jeong, So",2011,111,male
"June, Lee",2011,111,male
"Miriam, Lemmer",2020,112,female
"Benita, Erasmus",2020,112,male
"Jeanne, Kriek",2020,112,unknown
"RM, Yulmetyev",2005,113,unknown
"AV, Mokshin",2005,113,male
"P, Hanggi",2005,113,male
"Li, An",2021,114,male
"Volker, Grimm",2021,114,male
"Abigail, Sullivan",2021,114,male
"B L, II, Turner",2021,114,unknown
"Nicolas, Malleson",2021,114,male
"Alison, Heppenstall",2021,114,unknown
"Christian, Vincenot",2021,114,male
"Derek, Robinson",2021,114,unknown
"Xinyue, Ye",2021,114,unknown
"Jianguo, Liu",2021,114,male
"Emilie, Lindkvist",2021,114,male
"Wenwu, Tang",2021,114,female
"Veysi, Ozturk",2009,115,male
"Ramakrishnan, Raman",2019,116,male
"Meenakshi, D'Souza",2019,116,male
"V, Gontis",2004,117,male
"B, Kaulakys",2004,117,male
"M, Alaburda",2004,117,female
"J, Ruseckas",2004,117,unknown
"Demetris P K, Ghikas",2018,118,unknown
"Fotios D, Oikonomou",2018,118,unknown
"Brent A, Langellier",2019,119,unknown
"Jonathan, Purtle",2019,119,unknown
"Katherine L, Nelson",2019,119,unknown
"Yong, Yang",2019,119,unknown
"Ivana, Stankov",2019,119,male
"Ana V Diez, Roux",2019,119,unknown
"J, Bateira",2002,120,male
"LV, Ferreira",2002,120,male
"Andreas A, Malikopoulos",2016,121,male
"GE, McClearn",1999,122,male
"SM, Hofer",1999,122,male
"F, Aznar",2005,123,unknown
"M, Pujol",2005,123,unknown
"R, Rizo",2005,123,male
"M, Klein",2003,124,male
"H, Sayama",2003,124,female
"P, Faratin",2003,124,unknown
"Y, Bar Yam",2003,124,female
"Michael J, Jacobson",2019,125,male
"Stefania, Bandini",2008,126,male
"Leonardo, Vanneschi",2008,126,male
"Alessandro Bahgat, Shehata",2008,126,unknown
"Andrew, Wuensche",2008,126,male
"Sara, Kaviani",2021,127,unknown
"Insoo, Sohn",2021,127,unknown
"S B, Nicholson",2013,128,male
"Eun jin, Kim",2013,128,male
"L S, Schulman",2013,128,male
"Zoltan, Eisler",2008,129,male
"Janos, Kertesz",2008,129,unknown
"Imre, Bartos",2008,129,unknown
"Laura, Sani",2021,130,unknown
"Michele, Amoretti",2021,130,male
"Stefano, Cagnoni",2021,130,male
"Monica, Mordonini",2021,130,male
"Riccardo, Pecori",2021,130,unknown
"Yona, Dureau",2008,131,unknown
"Toshiya, Kaihara",2008,132,unknown
"Baoping, Cai",2016,133,male
"Hanlin, Liu",2016,133,male
"Min, Xie",2016,133,male
"Paula, Savioja",2014,134,male
"Marja, Liinasuo",2014,134,male
"Hanna, Koskinen",2014,134,male
