first_name,last_name,full_name,department,university,country,leader
Abd Al Aziz A,Abu Saleh,"Abd Al Aziz A, Abu Saleh",Chem,Mem Univ,Canada,"Raymond A, Poirier"
Ibrahim E,Awad,"Ibrahim E, Awad",Chem,Mem Univ,Canada,"Raymond A, Poirier"
Raymond A,Poirier,"Raymond A, Poirier",Chem,Mem Univ,Canada,"Raymond A, Poirier"
Arpita,Yadav,"Arpita, Yadav",Chem,Chhatrapati Shahu Ji Maharaj Univ,India,"Raymond A, Poirier"
Jacek,Kolacz,"Jacek, Kolacz",Kinsey Inst,Indiana Univ,USA,"Jacek, Kolacz"
Evan J,Nix,"Evan J, Nix",Kinsey Inst,Indiana Univ,USA,"Jacek, Kolacz"
Olivia K,Roath,"Olivia K, Roath",Kinsey Inst,Indiana Univ,USA,"Jacek, Kolacz"
Gregory F,Lewis,"Gregory F, Lewis",Kinsey Inst,Indiana Univ,USA,"Jacek, Kolacz"
Stephen W,Porges,"Stephen W, Porges",Kinsey Inst,Indiana Univ,USA,"Jacek, Kolacz"
Lourdes P,Dale,"Lourdes P, Dale",Coll Med Jacksonville,Univ Florida,USA,"Jacek, Kolacz"
Gregory F,Lewis,"Gregory F, Lewis",Intelligent Syst Engn,Indiana Univ,USA,"Jacek, Kolacz"
Stephen W,Porges,"Stephen W, Porges",Psychiat,Univ N Carolina,USA,"Jacek, Kolacz"
Migita,D'Cruz,"Migita, D'Cruz",Psychiat,Natl Inst Mental Hlth & Neurosci,India,"Migita, D'Cruz"
Debanjan,Banerjee,"Debanjan, Banerjee",Psychiat,Natl Inst Mental Hlth & Neurosci,India,"Migita, D'Cruz"
Unnikrishnan,Payyappallimana,"Unnikrishnan, Payyappallimana",Ctr Local Hlth Tradit & Policy,Univ Transdisciplinary Hlth Sci & Technol,India,"Rammanohar, Puthiyedath"
Kishor,Patwardhan,"Kishor, Patwardhan",Kriyashareera,Banaras Hindu Univ,India,"Rammanohar, Puthiyedath"
Prasad,Mangalath,"Prasad, Mangalath",Shalakya Tantra,Ashtamgam Ayurveda Vidyapeetham,India,"Rammanohar, Puthiyedath"
Christian S,Kessler,"Christian S, Kessler",Berlin,Charite Univ Med Berlin,Germany,"Rammanohar, Puthiyedath"
Christian S,Kessler,"Christian S, Kessler",Berlin,Free Univ Berlin,Germany,"Rammanohar, Puthiyedath"
Christian S,Kessler,"Christian S, Kessler",Berlin,Humboldt Univ,Germany,"Rammanohar, Puthiyedath"
Christian S,Kessler,"Christian S, Kessler",Inst Social Med Epidemiol & Hlth Econ,Berlin Inst Hlth,Germany,"Rammanohar, Puthiyedath"
Christian S,Kessler,"Christian S, Kessler",Internal & Integrat Med,Immanuel Hosp,Germany,"Rammanohar, Puthiyedath"
Rama,Jayasundar,"Rama, Jayasundar",Nucl Magnet Resonance,All India Inst Med Sci,India,"Rammanohar, Puthiyedath"
Anupama,Kizhakkeveettil,"Anupama, Kizhakkeveettil",Ayurveda,Southern Calif Univ Hlth Sci,USA,"Rammanohar, Puthiyedath"
Antonio,Morandi,"Antonio, Morandi",Milan,Ayurved Point,Italy,"Rammanohar, Puthiyedath"
Rammanohar,Puthiyedath,"Rammanohar, Puthiyedath",Amrita Sch Ayurveda,Amrita Vishwa Vidyapeetham,India,"Rammanohar, Puthiyedath"
Parth Sarthi,Sen Gupta,"Parth Sarthi, Sen Gupta",Chem Sci,IISER,India,"Malay Kumar, Rana"
Satyaranjan,Biswal,"Satyaranjan, Biswal",Chem Sci,IISER,India,"Malay Kumar, Rana"
Saroj Kumar,Panda,"Saroj Kumar, Panda",Chem Sci,IISER,India,"Malay Kumar, Rana"
Abhik Kumar,Ray,"Abhik Kumar, Ray",Chem Sci,IISER,India,"Malay Kumar, Rana"
Malay Kumar,Rana,"Malay Kumar, Rana",Chem Sci,IISER,India,"Malay Kumar, Rana"
Elena,Vigliar,"Elena, Vigliar",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Rima,Cepurnaite,"Rima, Cepurnaite",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Claudio,Bellevicine,"Claudio, Bellevicine",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Dario,Bruzzese,"Dario, Bruzzese",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Antonino,Iaccarino,"Antonino, Iaccarino",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Umberto,Malapelle,"Umberto, Malapelle",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Pasquale,Pisapia,"Pasquale, Pisapia",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Giancarlo,Troncone,"Giancarlo, Troncone",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone"
Eduardo,Alcaraz Mateos,"Eduardo, Alcaraz Mateos",Pathol,Jose M Morales Meseguer Univ,Spain,"Giancarlo, Troncone"
Syed Z,Ali,"Syed Z, Ali",Pathol,Johns Hopkins Univ Hosp,USA,"Giancarlo, Troncone"
Zahra,Maleki,"Zahra, Maleki",Pathol,Johns Hopkins Univ Hosp,USA,"Giancarlo, Troncone"
Zubair W,Baloch,"Zubair W, Baloch",Pathol,Univ Penn,USA,"Giancarlo, Troncone"
Massimo,Bongiovanni,"Massimo, Bongiovanni",Cytopathol,SYNLAB Suisse SA,Switzerland,"Giancarlo, Troncone"
Pavlina,Botsun,"Pavlina, Botsun",Kiev,Lab Pathol CSD,Ukraine,"Giancarlo, Troncone"
Oksana,Sulaieva,"Oksana, Sulaieva",Kiev,Lab Pathol CSD,Ukraine,"Giancarlo, Troncone"
Lukas,Bubendorf,"Lukas, Bubendorf",Inst Pathol,Univ Hosp Basel,Switzerland,"Giancarlo, Troncone"
Spasenija,Savic Prince,"Spasenija, Savic Prince",Inst Pathol,Univ Hosp Basel,Switzerland,"Giancarlo, Troncone"
Reinhard,Buttner,"Reinhard, Buttner",Pathol,Univ Hosp Cologne,Germany,"Giancarlo, Troncone"
Marianne,Engels,"Marianne, Engels",Pathol,Univ Hosp Cologne,Germany,"Giancarlo, Troncone"
Sule,Canberk,"Sule, Canberk",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone"
Catarina,Eloy,"Catarina, Eloy",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone"
Fernando C,Schmitt,"Fernando C, Schmitt",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone"
Arrigo,Capitanio,"Arrigo, Capitanio",Pathol,Linkoping Univ Hosp,Sweden,"Giancarlo, Troncone"
Chiara,Casadio,"Chiara, Casadio",Div Pathol & Lab Med,European Inst Oncol,Italy,"Giancarlo, Troncone"
Eugeniu,Cazacu,"Eugeniu, Cazacu",Morphopathol,Nicolae Testemitanu State Univ Med & Pharm,Moldova,"Giancarlo, Troncone"
Beatrix,Cochand Priollet,"Beatrix, Cochand Priollet",Cochin Hosp,Univ Med Ctr Paris,France,"Giancarlo, Troncone"
Alessandro,D'Amuri,"Alessandro, D'Amuri",A Perrino Hosp,ASL Brindisi,Italy,"Giancarlo, Troncone"
Guido,Fadda,"Guido, Fadda",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone"
Antonio,Ieni,"Antonio, Ieni",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone"
Giovanni,Tuccari,"Giovanni, Tuccari",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone"
Gabriella,Fontanini,"Gabriella, Fontanini",Surg,Univ Pisa,Italy,"Giancarlo, Troncone"
Franco,Fulciniti,"Franco, Fulciniti",Cantonal Inst Pathol,Locarno Cantonal Hosp,Switzerland,"Giancarlo, Troncone"
Paul,Hofman,"Paul, Hofman",Lab Clin & Expt Pathol,Pasteur Hosp,France,"Giancarlo, Troncone"
Xiaoyin Sara,Jiang,"Xiaoyin Sara, Jiang",Med Ctr,Duke Univ,USA,"Giancarlo, Troncone"
Betsy,Robinson,"Betsy, Robinson",Med Ctr,Duke Univ,USA,"Giancarlo, Troncone"
Kennichi,Kakudo,"Kennichi, Kakudo",Pathol,Izumi City Gen Hosp,Japan,"Giancarlo, Troncone"
Izidor,Kern,"Izidor, Kern",Golnik,Univ Clin Golnik,Slovenia,"Giancarlo, Troncone"
Ivana,Kholova,"Ivana, Kholova",Fac Med & Hlth Technol,Tampere Univ,Finland,"Giancarlo, Troncone"
Chinhua,Liu,"Chinhua, Liu",Pathol,Univ Texas MD Anderson Canc Ctr,USA,"Giancarlo, Troncone"
Sinchita,Roy Chowdhuri,"Sinchita, Roy Chowdhuri",Pathol,Univ Texas MD Anderson Canc Ctr,USA,"Giancarlo, Troncone"
Anandi,Lobo,"Anandi, Lobo",Pathol,Kapoor Path Labs,India,"Giancarlo, Troncone"
Maria D,Lozano,"Maria D, Lozano",Pathol,Univ Navarra Clin,Spain,"Giancarlo, Troncone"
Pamela,Michelow,"Pamela, Michelow",Anat Pathol,Univ Witwatersrand,Africa,"Giancarlo, Troncone"
Jamal,Musayev,"Jamal, Musayev",Baku,Baku Pathol Ctr,Azerbaijan,"Giancarlo, Troncone"
Gonca,ozgun,"Gonca, ozgun",Pathol,Baskent Univ,Turkey,"Giancarlo, Troncone"
Meltem,Oznur,"Meltem, Oznur",Pathol,Tekirdag Namik Kemal Univ,Turkey,"Giancarlo, Troncone"
Francisca Maria,Peiro Marques,"Francisca Maria, Peiro Marques",Pathol,Gen Univ Hosp Alicante,Spain,"Giancarlo, Troncone"
Francisco,Javier Segui Ivanez,"Francisco, Javier Segui Ivanez",Pathol,Gen Univ Hosp Alicante,Spain,"Giancarlo, Troncone"
David,Poller,"David, Poller",Pathol & Cytol,Queen Alexandra Hosp,England,"Giancarlo, Troncone"
Michal,Pyzlak,"Michal, Pyzlak",Warsaw,Ctr Diagnost Pathol,Poland,"Giancarlo, Troncone"
Esther Diana,Rossi,"Esther Diana, Rossi",Div Anat Pathol & Histol,Univ Polyclin Fdn Gemini,Italy,"Giancarlo, Troncone"
Mauro,Saieg,"Mauro, Saieg",Pathol,Santa Casa Med Sch,Brazil,"Giancarlo, Troncone"
Tajana,Stoos Veic,"Tajana, Stoos Veic",Pathol & Cytol,Univ Hosp Dubrava,Croatia,"Giancarlo, Troncone"
Brenda J,Sweeney,"Brenda J, Sweeney",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone"
William C,Faquin,"William C, Faquin",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone"
Martha Bishop,Pitman,"Martha Bishop, Pitman",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone"
Marie Louise,van Velthuysen,"Marie Louise, van Velthuysen",Pathol,Erasmus MC,Netherlands,"Giancarlo, Troncone"
Paul A,VanderLaan,"Paul A, VanderLaan",Beth Israel Deaconess Med Ctr,Harvard Med Sch,USA,"Giancarlo, Troncone"
Philippe,Vielh,"Philippe, Vielh",Medipath,Amer Hosp Paris,France,"Giancarlo, Troncone"
Patrizia,Viola,"Patrizia, Viola",North West London Pathol,Imperial Coll Healthcare,England,"Giancarlo, Troncone"
Rinus,Voorham,"Rinus, Voorham",Quirinus JMVoorham,PALGA Fdn,Netherlands,"Giancarlo, Troncone"
Birgit,Weynand,"Birgit, Weynand",Pathol,Univ Hosp Leuven,Belgium,"Giancarlo, Troncone"
Pio,Zeppa,"Pio, Zeppa",Med & Surg,Univ Salerno,Italy,"Giancarlo, Troncone"
Nitya,Rao,"Nitya, Rao",Sch Int Dev,Univ East Anglia,England,"Nitya, Rao"
Nivedita,Narain,"Nivedita, Narain",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao"
