first_name,last_name,full_name,department,organization,country,leader,times_cited,team_id,position,api_name
Abd Al Aziz A,Abu Saleh,"Abd Al Aziz A, Abu Saleh",Chem,Mem Univ,Canada,"Raymond A, Poirier",2,1,first,Abd
Ibrahim E,Awad,"Ibrahim E, Awad",Chem,Mem Univ,Canada,"Raymond A, Poirier",2,1,other,Ibrahim
Raymond A,Poirier,"Raymond A, Poirier",Chem,Mem Univ,Canada,"Raymond A, Poirier",2,1,leader,Raymond
Arpita,Yadav,"Arpita, Yadav",Chem,Chhatrapati Shahu Ji Maharaj Univ,India,"Raymond A, Poirier",2,1,last,Arpita
Unnikrishnan,Payyappallimana,"Unnikrishnan, Payyappallimana",Ctr Local Hlth Tradit & Policy,Univ Transdisciplinary Hlth Sci & Technol,India,"Rammanohar, Puthiyedath",1,3,first,Unnikrishnan
Kishor,Patwardhan,"Kishor, Patwardhan",Kriyashareera,Banaras Hindu Univ,India,"Rammanohar, Puthiyedath",1,3,other,Kishor
Prasad,Mangalath,"Prasad, Mangalath",Shalakya Tantra,Ashtamgam Ayurveda Vidyapeetham,India,"Rammanohar, Puthiyedath",1,3,other,Prasad
Christian S,Kessler,"Christian S, Kessler",Berlin,Charite Univ Med Berlin,Germany,"Rammanohar, Puthiyedath",1,3,other,Christian
Christian S,Kessler,"Christian S, Kessler",Berlin,Free Univ Berlin,Germany,"Rammanohar, Puthiyedath",1,3,other,Christian
Christian S,Kessler,"Christian S, Kessler",Berlin,Humboldt Univ,Germany,"Rammanohar, Puthiyedath",1,3,other,Christian
Christian S,Kessler,"Christian S, Kessler",Inst Social Med Epidemiol & Hlth Econ,Berlin Inst Hlth,Germany,"Rammanohar, Puthiyedath",1,3,other,Christian
Christian S,Kessler,"Christian S, Kessler",Internal & Integrat Med,Immanuel Hosp,Germany,"Rammanohar, Puthiyedath",1,3,other,Christian
Rama,Jayasundar,"Rama, Jayasundar",Nucl Magnet Resonance,All India Inst Med Sci,India,"Rammanohar, Puthiyedath",1,3,other,Rama
Anupama,Kizhakkeveettil,"Anupama, Kizhakkeveettil",Ayurveda,Southern Calif Univ Hlth Sci,USA,"Rammanohar, Puthiyedath",1,3,other,Anupama
Antonio,Morandi,"Antonio, Morandi",Milan,Ayurved Point,Italy,"Rammanohar, Puthiyedath",1,3,other,Antonio
Rammanohar,Puthiyedath,"Rammanohar, Puthiyedath",Amrita Sch Ayurveda,Amrita Vishwa Vidyapeetham,India,"Rammanohar, Puthiyedath",1,3,"last, leader",Rammanohar
Elena,Vigliar,"Elena, Vigliar",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,first,Elena
Rima,Cepurnaite,"Rima, Cepurnaite",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,other,Rima
Claudio,Bellevicine,"Claudio, Bellevicine",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,other,Claudio
Dario,Bruzzese,"Dario, Bruzzese",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,other,Dario
Antonino,Iaccarino,"Antonino, Iaccarino",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,other,Antonino
Umberto,Malapelle,"Umberto, Malapelle",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,other,Umberto
Pasquale,Pisapia,"Pasquale, Pisapia",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,other,Pasquale
Giancarlo,Troncone,"Giancarlo, Troncone",Publ Hlth,Univ Naples Federico II,Italy,"Giancarlo, Troncone",6,5,leader,Giancarlo
Eduardo,Alcaraz Mateos,"Eduardo, Alcaraz Mateos",Pathol,Jose M Morales Meseguer Univ,Spain,"Giancarlo, Troncone",6,5,other,Eduardo
Syed Z,Ali,"Syed Z, Ali",Pathol,Johns Hopkins Univ Hosp,USA,"Giancarlo, Troncone",6,5,other,Syed
Zahra,Maleki,"Zahra, Maleki",Pathol,Johns Hopkins Univ Hosp,USA,"Giancarlo, Troncone",6,5,other,Zahra
Zubair W,Baloch,"Zubair W, Baloch",Pathol,Univ Penn,USA,"Giancarlo, Troncone",6,5,other,Zubair
Massimo,Bongiovanni,"Massimo, Bongiovanni",Cytopathol,SYNLAB Suisse SA,Switzerland,"Giancarlo, Troncone",6,5,other,Massimo
Pavlina,Botsun,"Pavlina, Botsun",Kiev,Lab Pathol CSD,Ukraine,"Giancarlo, Troncone",6,5,other,Pavlina
Oksana,Sulaieva,"Oksana, Sulaieva",Kiev,Lab Pathol CSD,Ukraine,"Giancarlo, Troncone",6,5,other,Oksana
Lukas,Bubendorf,"Lukas, Bubendorf",Inst Pathol,Univ Hosp Basel,Switzerland,"Giancarlo, Troncone",6,5,other,Lukas
Spasenija,Savic Prince,"Spasenija, Savic Prince",Inst Pathol,Univ Hosp Basel,Switzerland,"Giancarlo, Troncone",6,5,other,Spasenija
Reinhard,Buttner,"Reinhard, Buttner",Pathol,Univ Hosp Cologne,Germany,"Giancarlo, Troncone",6,5,other,Reinhard
Marianne,Engels,"Marianne, Engels",Pathol,Univ Hosp Cologne,Germany,"Giancarlo, Troncone",6,5,other,Marianne
Sule,Canberk,"Sule, Canberk",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone",6,5,other,Sule
Catarina,Eloy,"Catarina, Eloy",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone",6,5,other,Catarina
Fernando C,Schmitt,"Fernando C, Schmitt",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone",6,5,other,Fernando
Arrigo,Capitanio,"Arrigo, Capitanio",Pathol,Linkoping Univ Hosp,Sweden,"Giancarlo, Troncone",6,5,other,Arrigo
Chiara,Casadio,"Chiara, Casadio",Div Pathol & Lab Med,European Inst Oncol,Italy,"Giancarlo, Troncone",6,5,other,Chiara
Eugeniu,Cazacu,"Eugeniu, Cazacu",Morphopathol,Nicolae Testemitanu State Univ Med & Pharm,Moldova,"Giancarlo, Troncone",6,5,other,Eugeniu
Beatrix,Cochand Priollet,"Beatrix, Cochand Priollet",Cochin Hosp,Univ Med Ctr Paris,France,"Giancarlo, Troncone",6,5,other,Beatrix
Alessandro,D'Amuri,"Alessandro, D'Amuri",A Perrino Hosp,ASL Brindisi,Italy,"Giancarlo, Troncone",6,5,other,Alessandro
Guido,Fadda,"Guido, Fadda",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone",6,5,other,Guido
Antonio,Ieni,"Antonio, Ieni",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone",6,5,other,Antonio
Giovanni,Tuccari,"Giovanni, Tuccari",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone",6,5,other,Giovanni
Gabriella,Fontanini,"Gabriella, Fontanini",Surg,Univ Pisa,Italy,"Giancarlo, Troncone",6,5,other,Gabriella
Franco,Fulciniti,"Franco, Fulciniti",Cantonal Inst Pathol,Locarno Cantonal Hosp,Switzerland,"Giancarlo, Troncone",6,5,other,Franco
Paul,Hofman,"Paul, Hofman",Lab Clin & Expt Pathol,Pasteur Hosp,France,"Giancarlo, Troncone",6,5,other,Paul
Xiaoyin Sara,Jiang,"Xiaoyin Sara, Jiang",Med Ctr,Duke Univ,USA,"Giancarlo, Troncone",6,5,other,Xiaoyin
Betsy,Robinson,"Betsy, Robinson",Med Ctr,Duke Univ,USA,"Giancarlo, Troncone",6,5,other,Betsy
Kennichi,Kakudo,"Kennichi, Kakudo",Pathol,Izumi City Gen Hosp,Japan,"Giancarlo, Troncone",6,5,other,Kennichi
Izidor,Kern,"Izidor, Kern",Golnik,Univ Clin Golnik,Slovenia,"Giancarlo, Troncone",6,5,other,Izidor
Ivana,Kholova,"Ivana, Kholova",Fac Med & Hlth Technol,Tampere Univ,Finland,"Giancarlo, Troncone",6,5,other,Ivana
Chinhua,Liu,"Chinhua, Liu",Pathol,Univ Texas MD Anderson Canc Ctr,USA,"Giancarlo, Troncone",6,5,other,Chinhua
Sinchita,Roy Chowdhuri,"Sinchita, Roy Chowdhuri",Pathol,Univ Texas MD Anderson Canc Ctr,USA,"Giancarlo, Troncone",6,5,other,Sinchita
Anandi,Lobo,"Anandi, Lobo",Pathol,Kapoor Path Labs,India,"Giancarlo, Troncone",6,5,other,Anandi
Maria D,Lozano,"Maria D, Lozano",Pathol,Univ Navarra Clin,Spain,"Giancarlo, Troncone",6,5,other,Maria
Pamela,Michelow,"Pamela, Michelow",Anat Pathol,Univ Witwatersrand,Africa,"Giancarlo, Troncone",6,5,other,Pamela
Jamal,Musayev,"Jamal, Musayev",Baku,Baku Pathol Ctr,Azerbaijan,"Giancarlo, Troncone",6,5,other,Jamal
Gonca,ozgun,"Gonca, ozgun",Pathol,Baskent Univ,Turkey,"Giancarlo, Troncone",6,5,other,Gonca
Meltem,Oznur,"Meltem, Oznur",Pathol,Tekirdag Namik Kemal Univ,Turkey,"Giancarlo, Troncone",6,5,other,Meltem
Francisca Maria,Peiro Marques,"Francisca Maria, Peiro Marques",Pathol,Gen Univ Hosp Alicante,Spain,"Giancarlo, Troncone",6,5,other,Francisca
Francisco,Javier Segui Ivanez,"Francisco, Javier Segui Ivanez",Pathol,Gen Univ Hosp Alicante,Spain,"Giancarlo, Troncone",6,5,other,Francisco
David,Poller,"David, Poller",Pathol & Cytol,Queen Alexandra Hosp,England,"Giancarlo, Troncone",6,5,other,David
Michal,Pyzlak,"Michal, Pyzlak",Warsaw,Ctr Diagnost Pathol,Poland,"Giancarlo, Troncone",6,5,other,Michal
Esther Diana,Rossi,"Esther Diana, Rossi",Div Anat Pathol & Histol,Univ Polyclin Fdn Gemini,Italy,"Giancarlo, Troncone",6,5,other,Esther
Mauro,Saieg,"Mauro, Saieg",Pathol,Santa Casa Med Sch,Brazil,"Giancarlo, Troncone",6,5,other,Mauro
Tajana,Stoos Veic,"Tajana, Stoos Veic",Pathol & Cytol,Univ Hosp Dubrava,Croatia,"Giancarlo, Troncone",6,5,other,Tajana
Brenda J,Sweeney,"Brenda J, Sweeney",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone",6,5,other,Brenda
William C,Faquin,"William C, Faquin",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone",6,5,other,William
Martha Bishop,Pitman,"Martha Bishop, Pitman",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone",6,5,other,Martha
Marie Louise,van Velthuysen,"Marie Louise, van Velthuysen",Pathol,Erasmus MC,Netherlands,"Giancarlo, Troncone",6,5,other,Marie
Paul A,VanderLaan,"Paul A, VanderLaan",Beth Israel Deaconess Med Ctr,Harvard Med Sch,USA,"Giancarlo, Troncone",6,5,other,Paul
Philippe,Vielh,"Philippe, Vielh",Medipath,Amer Hosp Paris,France,"Giancarlo, Troncone",6,5,other,Philippe
Patrizia,Viola,"Patrizia, Viola",North West London Pathol,Imperial Coll Healthcare,England,"Giancarlo, Troncone",6,5,other,Patrizia
Rinus,Voorham,"Rinus, Voorham",Quirinus JMVoorham,PALGA Fdn,Netherlands,"Giancarlo, Troncone",6,5,other,Rinus
Birgit,Weynand,"Birgit, Weynand",Pathol,Univ Hosp Leuven,Belgium,"Giancarlo, Troncone",6,5,other,Birgit
Pio,Zeppa,"Pio, Zeppa",Med & Surg,Univ Salerno,Italy,"Giancarlo, Troncone",6,5,last,Pio
Nitya,Rao,"Nitya, Rao",Sch Int Dev,Univ East Anglia,England,"Nitya, Rao",1,6,"first, leader",Nitya
Nivedita,Narain,"Nivedita, Narain",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Nivedita
Shuvajit,Chakraborty,"Shuvajit, Chakraborty",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Shuvajit
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Arundhita
Ayesha,Pattnaik,"Ayesha, Pattnaik",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Ayesha
Nivedita,Narain,"Nivedita, Narain",Graham Ctr Agr Innovat,Alliance Charles Sturt Univ,Australia,"Nitya, Rao",1,6,other,Nivedita
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",Graham Ctr Agr Innovat,Alliance Charles Sturt Univ,Australia,"Nitya, Rao",1,6,other,Arundhita
