first_name,last_name,full_name,department,organization,organization_type,country,leader,team_id,position,times_cited,api_name,gender,probability,count
Arpita,Yadav,"Arpita, Yadav",Chem,Chhatrapati Shahu Ji Maharaj Univ,University,India,"Raymond A, Poirier",1,last,2,Arpita,female,0.98,161
Migita,D'Cruz,"Migita, D'Cruz",Psychiat,Natl Inst Mental Hlth & Neurosci,Institute,India,"Migita, D'Cruz",2,"first, leader",0,Migita,female,0.67,3
Debanjan,Banerjee,"Debanjan, Banerjee",Psychiat,Natl Inst Mental Hlth & Neurosci,Institute,India,"Migita, D'Cruz",2,last,0,Debanjan,male,1,33
Unnikrishnan,Payyappallimana,"Unnikrishnan, Payyappallimana",Ctr Local Hlth Tradit & Policy,Univ Transdisciplinary Hlth Sci & Technol,University,India,"Rammanohar, Puthiyedath",3,first,1,Unnikrishnan,male,0.98,63
Kishor,Patwardhan,"Kishor, Patwardhan",Kriyashareera,Banaras Hindu Univ,University,India,"Rammanohar, Puthiyedath",3,other,1,Kishor,male,0.99,463
Prasad,Mangalath,"Prasad, Mangalath",Shalakya Tantra,Ashtamgam Ayurveda Vidyapeetham,Hospital,India,"Rammanohar, Puthiyedath",3,other,1,Prasad,male,0.99,1189
Rama,Jayasundar,"Rama, Jayasundar",Nucl Magnet Resonance,All India Inst Med Sci,Institute,India,"Rammanohar, Puthiyedath",3,other,1,Rama,female,0.58,3838
Rammanohar,Puthiyedath,"Rammanohar, Puthiyedath",Amrita Sch Ayurveda,Amrita Vishwa Vidyapeetham,University,India,"Rammanohar, Puthiyedath",3,"last, leader",1,Rammanohar,male,1,3
Parth Sarthi,Sen Gupta,"Parth Sarthi, Sen Gupta",Chem Sci,IISER,Research,India,"Malay Kumar, Rana",4,first,0,Parth,male,1,481
Satyaranjan,Biswal,"Satyaranjan, Biswal",Chem Sci,IISER,Research,India,"Malay Kumar, Rana",4,other,0,Satyaranjan,male,1,4
Saroj Kumar,Panda,"Saroj Kumar, Panda",Chem Sci,IISER,Research,India,"Malay Kumar, Rana",4,other,0,Saroj,male,0.83,356
Abhik Kumar,Ray,"Abhik Kumar, Ray",Chem Sci,IISER,Research,India,"Malay Kumar, Rana",4,other,0,Abhik,male,0.98,46
Malay Kumar,Rana,"Malay Kumar, Rana",Chem Sci,IISER,Research,India,"Malay Kumar, Rana",4,"last, leader",0,Malay,male,0.82,119
Anandi,Lobo,"Anandi, Lobo",Pathol,Kapoor Path Labs,Research,India,"Giancarlo, Troncone",5,other,6,Anandi,female,0.86,42
Nivedita,Narain,"Nivedita, Narain",New Delhi,Profess Assistance Dev Act PRADAN,School,India,"Nitya, Rao",6,other,1,Nivedita,female,0.98,89
Shuvajit,Chakraborty,"Shuvajit, Chakraborty",New Delhi,Profess Assistance Dev Act PRADAN,School,India,"Nitya, Rao",6,other,1,Shuvajit,male,1,1
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",New Delhi,Profess Assistance Dev Act PRADAN,School,India,"Nitya, Rao",6,other,1,Arundhita,female,0.75,4
Ayesha,Pattnaik,"Ayesha, Pattnaik",New Delhi,Profess Assistance Dev Act PRADAN,School,India,"Nitya, Rao",6,other,1,Ayesha,female,0.97,1619
Ruchi Jakhmola,Mani,"Ruchi Jakhmola, Mani",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,University,India,"Deepshikha Pande, Katare",7,first,2,Ruchi,female,0.91,291
Nikita,Sehgal,"Nikita, Sehgal",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,University,India,"Deepshikha Pande, Katare",7,other,2,Nikita,female,0.52,10326
Nitu,Dogra,"Nitu, Dogra",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,University,India,"Deepshikha Pande, Katare",7,other,2,Nitu,female,1,0
Deepshikha Pande,Katare,"Deepshikha Pande, Katare",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,University,India,"Deepshikha Pande, Katare",7,leader,2,Deepshikha,female,1,46
Shikha,Saxena,"Shikha, Saxena",Amity Inst Pharm,Amity Univ Uttar Pradesh,University,India,"Deepshikha Pande, Katare",7,last,2,Shikha,female,0.99,330
Ashutosh,Kumar,"Ashutosh, Kumar",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,"first, leader",32,Ashutosh,male,0.99,758
Pranav,Prasoon,"Pranav, Prasoon",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Pranav,male,0.99,589
Prakash S,Sekhawat,"Prakash S, Sekhawat",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Prakash,male,0.99,2377
Vikas,Pareek,"Vikas, Pareek",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Vikas,male,0.99,2499
Muneeb A,Faiq,"Muneeb A, Faiq",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Muneeb,male,0.98,326
Chiman,Kumari,"Chiman, Kumari",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Chiman,male,0.69,39
Ravi K,Narayan,"Ravi K, Narayan",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Ravi,male,0.98,6167
Maheswari,Kulandhasamy,"Maheswari, Kulandhasamy",New Delhi,Etiol Elus Disorders Res Network EEDRN,Research,India,"Ashutosh, Kumar",8,other,32,Maheswari,female,1,31
