name,publications,citations
Chhatrapati Shahu Ji Maharaj Univ,2,3
Natl Inst Mental Hlth & Neurosci,24,150
Univ Transdisciplinary Hlth Sci & Technol,1,1
Banaras Hindu Univ,58,299
Ashtamgam Ayurveda Vidyapeetham,1,1
All India Inst Med Sci,274,1366
Amrita Vishwa Vidyapeetham,10,12
IISER,1,0
Kapoor Path Labs,1,6
Profess Assistance Dev Act PRADAN,1,1
Amity Univ Uttar Pradesh,16,53
Etiol Elus Disorders Res Network EEDRN,4,45
All India Inst Med Sci AIIMS,37,170
Nil RatanSircar Med Coll & Hosp NRSMCH,1,32
Natl Brain Res Ctr,9,69
Postgrad Inst Med Educ & Res PGIMER,17,91
Maulana Azad Med Coll MAMC,4,43
DAC&FW,1,2
Natl Inst Technol NIT,3,28
GM Inst Technol,1,9
Davangere Univ,3,142
Karnatak Univ,5,142
Natl Inst Technol,52,369
TN Med Coll & BYL Nair Ch Hosp,2,3
BYL Nair Charitable Hosp,7,46
ICMR Natl Inst Res Reprod Hlth,8,14
ICAR Indian Inst Water Management,2,2
ICAR Natl Bur Agr Important Microorgan,1,2
Alagappa Univ,23,169
ICAR Indian Agr Stat Res Inst,2,5
Indian Inst Publ Hlth Gandhinagar,11,45
Biomac Life Sci Pvt Ltd,1,2
ICAR Indian Vet Res Inst,37,1410
Rani Lakshmi Bai Cent Agr Univ,5,16
Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,1,5
PerunthalaivarKamarajar Inst Engn & Technol,1,5
Army Coll Med Sci,3,0
Base Hosp Delhi Cantt,2,1
Univ Delhi,66,447
Cent Univ Jharkhand,13,102
Wadia Inst Himalayan Geol,1,0
Johns Hopkins Univ,2,12
Byramjee Jeejeebhoy Govt Med Coll,4,13
ICMR Natl Inst Virol,9,41
Indian Council Med Res,46,534
Jawaharlal Nehru Univ,42,168
ICAR Natl Res Ctr Meat,2,0
Post Grad Inst Med Educ & Res,39,302
Samvedana Grp Hosp & Res Ctr,4,57
King Georges Med Univ,27,530
JSS Acad Higher Educ & Res,26,122
Fortis Hosp Mohali,1,0
CMC,5,52
St Johns Med Coll Hosp,9,57
Natl Inst Mental Hlth & Neurosci NIMHANS,24,120
Jamia Millia Islamia,50,480
Apollo Hlth City,1,1
Apollo Telemed Networking Fdn,2,12
King George Med Univ,6,80
Sanjay Gandhi Postgrad Inst Med Sci,34,348
Int Food Policy Res Inst IFPRI,1,0
IFPRI,1,0
Indian Inst Technol Kharagpur,35,172
Theatre Arpana & Tamaasha Theatre,1,0
ICMR Reg Med Res Ctr,8,43
Utkal Univ,8,77
Indian Inst Management IIMA,1,2
Bharathiar Univ,14,256
CHRIST Deemed Univ,3,9
Inst Forest Genet & Tree Breeding IFGTB,1,0
St Xaviers Coll,7,9
Sher E Kashmir Univ Agr Sci & Technol Kashmir,16,249
UP Deen Dayal Upadhayay Pashu Chikitsa Vigyan Vis,1,0
Tata Mem Hosp,26,703
Inst Publ Hlth,2,3
Univ Lucknow,3,26
Hemvati Nandan Bahuguna Garhwal Univ,4,34
IIHMR Univ,2,116
Uttarakhand Council Biotechnol UCB,2,50
CCS Univ,2,50
Govt Med Coll,24,367
Acad Biol Sci & Res Fdn ABSRF,1,50
Noida Inst Engn & Technol,2,51
Venkat Ctr Skin & Plast Surg,1,3
